Train	Test	Trail
0.13860178	0.15364386	0.15819007
0.08527696	0.11258674	0.11265538
0.06187454	0.08767019	0.08316099
0.07509184	0.10569249	0.10591728
0.08280998	0.11369166	0.117303416
0.08292674	0.11457016	0.11761589
0.04970515	0.080102354	0.07980354
0.07285458	0.10588627	0.10246357
0.048142236	0.07720951	0.07646179
0.050529324	0.08179234	0.08267938
0.04853155	0.07911827	0.07835972
0.04751783	0.07511222	0.07507353
0.04464944	0.074774556	0.0777813
0.046518393	0.07458853	0.07526687
0.047175135	0.080453575	0.07702458
0.025103858	0.052740805	0.050309923
0.023331644	0.04927661	0.048171792
0.040826835	0.07016276	0.071198024
0.02257971	0.048808742	0.052460153
0.027513497	0.056077223	0.057045788
0.04098357	0.07365526	0.077058256
0.026097983	0.05482498	0.059110735
0.026613282	0.05549809	0.05954535
0.036755662	0.06747821	0.071554594
0.020086328	0.048457608	0.05117421
0.022917042	0.05060328	0.05492126
0.017681954	0.044906557	0.046393696
0.017619895	0.04325449	0.04906852
0.015461236	0.041949898	0.045177046
0.021214973	0.050595146	0.04985256
0.019772267	0.050335206	0.05374468
0.016016588	0.04409051	0.04569183
0.016631031	0.04429843	0.047414314
0.011685837	0.03657711	0.03930922
0.017841125	0.04502333	0.04684302
0.016435444	0.043707598	0.04717987
0.014522875	0.041746043	0.04433406
0.012136075	0.038708087	0.04020115
0.01944343	0.050352745	0.04897446
0.01214574	0.039647747	0.03864939
0.014629418	0.04314736	0.04089089
0.012929538	0.04168012	0.04167669
0.012778198	0.03989216	0.038093477
0.012352085	0.038319327	0.039957643
0.008420465	0.033672478	0.034300424
0.013795411	0.04188966	0.04254354
0.009144622	0.03430086	0.03587491
0.010523407	0.03632948	0.040383726
0.010570859	0.037655834	0.040320016
0.0069241715	0.031298246	0.031386793
