Train	Test	Trail
0.64314663	0.57168657	0.58954066
0.7530734	0.6278886	0.64689094
0.8101204	0.6737608	0.71620977
0.78858197	0.65162635	0.6663591
0.79620016	0.6533787	0.6670919
0.8144982	0.6670493	0.6707275
0.84635925	0.6919618	0.7123159
0.83179975	0.67510647	0.70425546
0.8720768	0.70976335	0.7293059
0.8696015	0.7067965	0.70328104
0.86243033	0.70243704	0.71685123
0.874686	0.7118481	0.7250694
0.86718524	0.69844174	0.70812213
0.88162965	0.72206396	0.72008294
0.87073743	0.69504404	0.7202512
0.90803427	0.73217463	0.74067944
0.91027564	0.7334061	0.72672915
0.8965652	0.7166756	0.71590936
0.9135599	0.732137	0.7224755
0.90363383	0.72842836	0.7219932
0.880132	0.7076225	0.7057404
0.90758103	0.72315204	0.7085368
0.9069535	0.72773075	0.7158982
0.89355356	0.7120802	0.7105387
0.92359287	0.73171854	0.7175539
0.91475093	0.73039925	0.7085067
0.93099064	0.73546964	0.73023766
0.92322594	0.73831505	0.7007728
0.92861503	0.7373382	0.7199769
0.9253349	0.72677255	0.73092043
0.9239527	0.7279811	0.7017038
0.93268657	0.73239136	0.72219265
0.930583	0.7381636	0.7187104
0.9403396	0.7454412	0.73028064
0.9326259	0.74210083	0.72866577
0.9294552	0.7373821	0.7297897
0.9358859	0.73852026	0.72586536
0.9416678	0.74143726	0.7383934
0.9294797	0.72616804	0.7366682
0.93979084	0.7413241	0.74432427
0.9404017	0.73860025	0.74459445
0.94066125	0.73408395	0.7357723
0.9427558	0.74152744	0.7506765
0.9448284	0.746463	0.7266051
0.95478135	0.75443506	0.7521292
0.9410891	0.7359394	0.73630196
0.9472931	0.74761397	0.7347999
0.94936365	0.7468413	0.7188126
0.9481532	0.744698	0.7276757
0.9577367	0.75351405	0.7481102
