Train	Test	Trail
0.16007365	0.17863767	0.18604925
0.107370324	0.13374509	0.13846631
0.05604164	0.08286741	0.08867542
0.0891252	0.12785229	0.1283035
0.05838198	0.09257162	0.0898922
0.060892016	0.09334761	0.097570375
0.05178019	0.08496504	0.08842394
0.0629139	0.101398245	0.106193446
0.04660006	0.083086275	0.08864752
0.06500131	0.103296734	0.11276555
0.053723454	0.090851076	0.09575539
0.04412496	0.077861294	0.08388045
0.06679456	0.10328414	0.11083121
0.03588982	0.0690968	0.069414996
0.026872274	0.057926793	0.05703737
0.047694873	0.08618048	0.08919387
0.032748293	0.06972107	0.07057309
0.03303853	0.0699278	0.06657577
0.033049088	0.069208555	0.07046049
0.030170735	0.06581523	0.06541234
0.03087991	0.06667924	0.06891767
0.023017569	0.057429697	0.06050709
0.022498418	0.05603932	0.059251495
0.02456034	0.05867663	0.061235633
0.019128088	0.053681053	0.053793006
0.015861796	0.048614275	0.050128732
0.024721498	0.059135336	0.06124704
0.03297667	0.07177078	0.073013104
0.022099594	0.055463046	0.054772962
0.013698028	0.04817601	0.04528846
0.013489858	0.04572419	0.04676091
0.011000061	0.042925186	0.041676994
0.009338133	0.040714618	0.038749848
0.011080581	0.04485672	0.0440774
0.015182425	0.051409088	0.050333038
0.008705811	0.04114125	0.039475974
0.01345109	0.05024954	0.049692605
0.010741871	0.045127437	0.04305831
0.009432795	0.045652416	0.04304234
0.012576391	0.049861256	0.046379097
0.009283656	0.043464147	0.041332603
0.007033596	0.03951921	0.037290897
0.010735894	0.0440644	0.043816596
0.0069949217	0.03934785	0.03862426
0.00685444	0.03946532	0.038817905
0.0088952845	0.042393263	0.041147888
0.010466806	0.04388928	0.040671356
0.0078052063	0.04221766	0.040990077
0.010352491	0.044804864	0.0449087
0.0053324807	0.038750134	0.036640726
