Train	Test	Trail
0.58836114	0.5075081	0.51234823
0.70002514	0.5745342	0.5788379
0.812666	0.65674376	0.63001114
0.786318	0.615177	0.62558746
0.8253612	0.6514354	0.67807865
0.8492073	0.6712826	0.6504977
0.8558555	0.66454685	0.66468626
0.85666627	0.6578201	0.6475617
0.874372	0.671286	0.666777
0.8390615	0.64640653	0.6422154
0.8697493	0.66780514	0.66449875
0.88644457	0.68626094	0.6627348
0.8539376	0.6493843	0.64062315
0.90374464	0.69799304	0.6988427
0.91294676	0.70569915	0.6956045
0.88224655	0.6740465	0.64472544
0.9036316	0.6826311	0.6647826
0.90285313	0.6864511	0.69852895
0.9025254	0.69175047	0.68304014
0.9139188	0.69056165	0.6773574
0.90944767	0.68477064	0.6594219
0.924266	0.7014388	0.6741203
0.92478687	0.6985156	0.66365635
0.91611344	0.6929007	0.65914696
0.93117	0.69592947	0.683047
0.9418525	0.7077587	0.6857751
0.9272662	0.70057434	0.6729487
0.9089707	0.67781943	0.6585415
0.9152687	0.68623465	0.6743492
0.9444598	0.70012915	0.7122233
0.95141065	0.7083634	0.705267
0.9548392	0.711478	0.7160148
0.95581126	0.7142759	0.7159194
0.9522151	0.7055398	0.705404
0.94262195	0.69042265	0.69640684
0.9596113	0.7070968	0.7116028
0.94826233	0.6881925	0.69941294
0.95197076	0.6960331	0.7072528
0.9527492	0.68152267	0.6934748
0.9516262	0.6845739	0.70458806
0.9565168	0.6910397	0.70067
0.9714961	0.70436996	0.7156178
0.9584633	0.701317	0.6941531
0.970389	0.70597756	0.70734304
0.9689925	0.7050755	0.7001885
0.96731985	0.7026363	0.7041518
0.9616536	0.69840276	0.7146108
0.96775264	0.6930302	0.69145286
0.9647986	0.69775563	0.68354887
0.9747343	0.7067075	0.7089611
