Train	Test	Trail
0.09788897	0.1083741	0.11836859
0.09785549	0.118244685	0.12275942
0.069379106	0.0912447	0.097972
0.07324747	0.10094812	0.10749358
0.065588556	0.09105619	0.10040372
0.050621886	0.07394462	0.07969647
0.062742226	0.091788925	0.103476
0.05390201	0.07978583	0.08493339
0.05127295	0.077400714	0.07991462
0.04363903	0.07042107	0.07480599
0.04818777	0.07647272	0.08205788
0.04051065	0.063832946	0.06879964
0.038048815	0.06384893	0.06408184
0.03164527	0.055994697	0.05816644
0.039373625	0.064965256	0.07010405
0.031233167	0.057314094	0.05894561
0.033276685	0.05958692	0.06738474
0.022491992	0.048333187	0.051280126
0.03491001	0.063187666	0.06407287
0.03488718	0.06434799	0.06664505
0.029419031	0.058363292	0.06422151
0.030148312	0.056850825	0.061575226
0.018143564	0.04342688	0.043830864
0.022030484	0.049659345	0.05169755
0.024079436	0.051365748	0.053822264
0.016724411	0.043106474	0.04449453
0.014380696	0.03832647	0.038630728
0.01545813	0.040570613	0.041673817
0.015406188	0.03941037	0.04145748
0.022864614	0.05290562	0.0566726
0.017349612	0.044830333	0.043876108
0.01705642	0.044546776	0.041431256
0.017712789	0.044801038	0.04548054
0.017591773	0.04514805	0.046399344
0.016714424	0.044829488	0.043899763
0.017969245	0.04670395	0.04709683
0.014635367	0.0409233	0.042881936
0.014925581	0.04146099	0.043371398
0.0135070095	0.041272894	0.043287568
0.011613577	0.03817064	0.03858381
0.01171041	0.037771534	0.040470228
0.013401232	0.040416084	0.042391956
0.010106567	0.036312107	0.036594644
0.008783292	0.03366028	0.03810672
0.013123255	0.041549005	0.04323024
0.01013512	0.036837682	0.042584963
0.012801836	0.04096155	0.04160552
0.008823281	0.035807893	0.03556446
0.010292615	0.037812628	0.037695322
0.015047797	0.042260967	0.04655127
