Train	Test	Trail
0.645897	0.5680096	0.5738063
0.7123091	0.6077289	0.6169798
0.7824739	0.6484383	0.6401573
0.7955861	0.65535706	0.6577948
0.8171335	0.67067266	0.6584739
0.8374664	0.69019324	0.6739415
0.83639497	0.6710455	0.63693345
0.8448216	0.6880468	0.69030374
0.8579168	0.6944594	0.68209875
0.8684546	0.69706	0.6756582
0.8661973	0.6927429	0.6861515
0.87267184	0.7043471	0.6921099
0.88386506	0.7075298	0.7022981
0.9000751	0.72150576	0.69980615
0.88749325	0.70463294	0.6817964
0.9012181	0.7140893	0.6966208
0.8962433	0.7058454	0.6684179
0.91484016	0.7200389	0.6984606
0.9038747	0.7076998	0.7034884
0.89874375	0.68878406	0.6709292
0.9090765	0.708334	0.66734356
0.9101272	0.71445227	0.7022439
0.928783	0.7293665	0.7301661
0.9247495	0.7195447	0.69809324
0.92160964	0.7261584	0.7152909
0.93453825	0.7253098	0.71263695
0.9344138	0.7361681	0.7277345
0.9392902	0.7391515	0.71272105
0.9347804	0.7330751	0.70163465
0.9262124	0.7149032	0.68842167
0.9352395	0.72046196	0.71736693
0.9411727	0.72324425	0.7352194
0.9410785	0.72802943	0.7200282
0.93870866	0.72592074	0.7172493
0.94056714	0.72355425	0.7198551
0.94397724	0.72353446	0.72724885
0.94636005	0.73111755	0.71745735
0.94787693	0.7351748	0.7212382
0.9480343	0.7232416	0.71446294
0.9544363	0.73495185	0.72956085
0.9519662	0.7389867	0.7247657
0.95099926	0.7365598	0.72570336
0.9574278	0.7372066	0.73586506
0.9594187	0.7472609	0.71892756
0.9511661	0.72108907	0.71365136
0.9572018	0.73648214	0.7058445
0.952775	0.7302242	0.7178769
0.96070683	0.7380681	0.74236983
0.95703197	0.7326106	0.7343815
0.95256394	0.7350065	0.714927
