Train	Test	Trail
0.20155713	0.19956106	0.18661118
0.20531248	0.20337965	0.18978961
0.20231713	0.20045726	0.18670996
0.2064098	0.20990321	0.18910685
0.42877913	0.43790066	0.45895696
0.41843784	0.42854697	0.4519312
0.37476882	0.389385	0.41550505
0.39334223	0.41020688	0.43083394
0.40596977	0.4168968	0.44151014
0.40411854	0.41655555	0.43560073
0.35788396	0.37324697	0.404432
0.40911013	0.41788283	0.44274512
0.3726811	0.3897329	0.40846145
0.37508884	0.39020747	0.41193464
0.36622798	0.38320374	0.39859158
0.38810623	0.4005982	0.41772658
0.37720078	0.3906457	0.41429493
0.38526523	0.3974624	0.4206635
0.36169368	0.3797138	0.39445806
0.37644693	0.3941234	0.41154018
0.3878396	0.4043622	0.42073455
0.39654505	0.4111174	0.42919266
0.382337	0.39795914	0.41402
0.35742024	0.37814295	0.39588147
0.37690508	0.39385745	0.4088779
0.3909197	0.40466726	0.42360175
0.36239323	0.38481155	0.3960424
0.39192128	0.40723705	0.42724887
0.3972176	0.40991232	0.42702574
0.36627337	0.38487116	0.40954363
0.37502703	0.3921724	0.41258982
0.3516039	0.375412	0.39153585
0.3870408	0.40471807	0.42519784
0.4062429	0.41677153	0.43854442
0.39447033	0.4084911	0.42768684
0.37739322	0.39381063	0.41562372
0.39215407	0.40630135	0.4208229
0.4083863	0.41932884	0.43857288
0.3660562	0.3871473	0.4049212
0.3756798	0.3924632	0.41652423
0.37202013	0.39152947	0.41435605
0.3607884	0.3823577	0.40560144
0.3816246	0.40026516	0.4222871
0.38456994	0.4028957	0.42496264
0.38553077	0.40260217	0.42423004
0.38288426	0.39987415	0.41923457
0.35789338	0.38135117	0.39465538
0.37280136	0.39315298	0.40968055
0.36579123	0.38642666	0.4049992
0.36642644	0.38672	0.4048239
