Train	Test	Trail
0.057952445	0.006513887	nan
0.026577737	-0.008465539	0.006796283
0.05532123	0.018498883	0.043328647
0.048071776	-0.022873204	0.07397552
0.056434155	0.0030567204	-0.03836073
0.09483508	0.053209614	0.036509816
0.1787022	0.026771476	0.022559647
0.1637707	0.014031269	0.001352573
0.16062838	0.039870147	0.0025309797
0.19349986	0.043269616	0.025744071
0.23873672	0.05422512	0.005567184
0.2061486	0.017441425	-0.06926701
0.2855244	0.044783592	0.043292228
0.290154	0.033245653	-0.01030813
0.32714093	0.041248884	0.036383945
0.25833437	0.04483701	0.03297474
0.2928642	0.03382388	-0.017315872
0.30226374	0.046334602	-0.0015883857
0.34567365	0.048030198	0.030546743
0.3447581	0.047985364	0.00809486
0.32943007	0.02198762	-0.0028001978
0.33725047	0.04535217	0.024506414
0.34963587	0.044026908	0.032008518
0.3592642	0.05899228	0.03377914
0.38172227	0.045018163	0.019441182
0.3297582	0.049217332	0.010216421
0.35311535	0.048846096	0.031214256
0.34685838	0.025559636	0.065307654
0.3405766	0.048493218	0.059875235
0.41119346	0.08185325	0.04402774
0.39527643	0.05358564	0.042350538
0.38225436	0.06066866	0.05706326
0.37226892	0.03852729	0.036761187
0.3458917	0.040369347	0.027372006
0.35546622	0.044304643	0.030743953
0.38503513	0.034939535	-0.022351796
0.33827743	0.03889515	0.008032078
0.34927905	0.028590197	0.002761178
0.41349372	0.024184085	0.06115458
0.38882545	0.04442808	0.025175363
0.40530628	0.04706224	0.011912732
0.3748793	0.05552342	0.0035693315
0.36335286	0.03689891	-0.00016094222
0.35845715	0.043158107	-0.00095592864
0.364499	0.025342679	-0.022968492
0.3842335	0.0430232	-0.0061437883
0.43498877	0.025640728	-0.00557104
0.412834	0.022121625	-0.030638728
0.3975461	0.033866253	-0.083628625
0.40560967	0.03133362	-0.031100858
