Train	Test	Trail
0.2663616	0.27265325	0.2619649
0.43047303	0.43668053	0.4442118
0.3857952	0.39465764	0.4186576
0.3848533	0.39697975	0.41993916
0.3737494	0.38793668	0.41031548
0.36837482	0.384754	0.40571928
0.377635	0.39460382	0.41956386
0.36852318	0.38859013	0.40997118
0.37064642	0.39123383	0.4145501
0.3734279	0.39310247	0.4139344
0.35648808	0.37936118	0.40142974
0.36012968	0.38167608	0.40324712
0.3533862	0.377719	0.39825338
0.35941783	0.3820072	0.4003698
0.36768234	0.388062	0.41160616
0.35792306	0.38060513	0.4029627
0.336323	0.36591956	0.38533115
0.35197395	0.37814552	0.39895725
0.35013264	0.37520975	0.39768824
0.345416	0.37348744	0.39379695
0.35051835	0.3783707	0.39797413
0.33997494	0.36959016	0.39328346
0.3502778	0.37571958	0.39975494
0.33449072	0.3637362	0.38723388
0.3399768	0.36945567	0.39136392
0.34435964	0.37063277	0.39463225
0.33220756	0.36277407	0.38469794
0.33122495	0.36080208	0.38461468
0.3486592	0.37549436	0.4001894
0.34332156	0.37214193	0.39745155
0.34018305	0.37062475	0.39466324
0.32826242	0.36075795	0.38712078
0.32811245	0.36072963	0.38297766
0.3157781	0.35211888	0.37156272
0.31759846	0.35348558	0.37387246
0.29540494	0.33678606	0.3565367
0.30271804	0.34078935	0.36396316
0.31193596	0.34903663	0.3741098
0.29227647	0.33403775	0.3567705
0.3048148	0.34380004	0.36393085
0.30028296	0.3396536	0.36149982
0.318423	0.35538965	0.37332228
0.29941437	0.3420242	0.35949934
0.29733643	0.33892223	0.3613227
0.28973126	0.33449683	0.3502761
0.2811903	0.3286198	0.34370008
0.29340065	0.33497733	0.35715923
0.29725373	0.33876303	0.362929
0.28536132	0.33132195	0.35299018
0.29947776	0.34206268	0.36568177
