Train	Test	Trail
0.050730057	0.0077652573	0.024006654
0.009514879	-0.020650363	0.07147636
0.23438491	0.05256219	0.004296335
0.2491223	0.062175658	0.038816363
0.3271351	0.05272399	0.023690348
0.35790092	0.042080082	0.031270593
0.36112207	0.05244299	0.0023393563
0.35606495	0.046315275	0.028146006
0.40872732	0.048491392	0.021274654
0.3988985	0.05176942	0.0084588
0.42817128	0.050996963	0.011326913
0.4171805	0.057048388	0.010360802
0.4265212	0.044860523	0.01010553
0.41608745	0.04908663	0.0003668247
0.39707232	0.04362736	0.010963167
0.41398975	0.05264534	-0.014643134
0.43739164	0.05353496	0.013011424
0.439837	0.04104776	-0.016305756
0.42824918	0.030474417	-0.021597432
0.43123806	0.031380475	-0.02040572
0.43968844	0.015850632	-0.0400299
0.45181045	0.032011528	-0.04970408
0.41262403	0.04437171	-0.016236352
0.43689564	0.045048237	-0.03522591
0.4423519	0.04055296	-0.026891824
0.4310311	0.041142777	-0.04451654
0.43441132	0.027028678	-0.04199115
0.44540384	0.03218214	-0.05385191
0.41526136	0.03078682	-0.07659743
0.42162937	0.014029439	-0.077103056
0.4308352	0.026012776	-0.0743955
0.450223	0.024472	-0.05709812
0.4602128	0.018459043	-0.06562962
0.45701185	0.020185573	-0.039981093
0.46343195	0.023154426	-0.043202043
0.50627136	0.024187464	-0.057698015
0.4964138	0.02436829	-0.054773837
0.48186845	0.016332643	-0.08041153
0.5139832	0.01930851	-0.05465604
0.49392834	0.012494276	-0.055932768
0.4782612	0.023822395	-0.047229346
0.4664241	0.014203749	-0.054793783
0.50313705	0.019898798	-0.05189149
0.5065863	0.022989048	-0.065449774
0.5077724	0.015365841	-0.013182203
0.5358532	0.014240927	-0.008252504
0.5027579	0.018051853	-0.019020235
0.49390572	0.02373217	-0.0330295
0.49643263	0.016300656	-0.032706883
0.4924212	0.016789349	-0.036353443
