Train	Test	Trail
0.41173106	0.41382137	0.43723693
0.3991654	0.40422583	0.42408648
0.41103202	0.41472045	0.43861967
0.3889617	0.39760146	0.41704816
0.411642	0.41751698	0.43850565
0.402084	0.40828577	0.4303087
0.40418044	0.41149074	0.43184242
0.39577752	0.40588823	0.42324182
0.39535666	0.40638864	0.42441076
0.39736935	0.40714312	0.42229754
0.38009125	0.39480573	0.41121337
0.4116431	0.4200647	0.43703067
0.40223986	0.41311127	0.42883733
0.39326954	0.4053098	0.42022863
0.38992703	0.40241802	0.41624036
0.39557013	0.40738595	0.42046356
0.3853545	0.40007257	0.4131892
0.4009719	0.41294453	0.4286435
0.4073765	0.417888	0.43588844
0.39286974	0.4077721	0.42309746
0.38922206	0.40341765	0.41611317
0.4025758	0.4152963	0.43169063
0.39819124	0.41243878	0.42604113
0.39582878	0.41075712	0.4255896
0.40147984	0.41544884	0.4341281
0.3921746	0.4078361	0.42311418
0.3947535	0.40769362	0.4246132
0.38741508	0.40297666	0.42002216
0.39329964	0.40974185	0.42594746
0.39548194	0.41078907	0.4259546
0.40267935	0.41718823	0.4315355
0.39624047	0.41147423	0.42921087
0.39888743	0.41313794	0.4299911
0.4014183	0.41618147	0.43300927
0.4038832	0.41831467	0.43490264
0.40210834	0.41644385	0.43488094
0.38154855	0.40079853	0.42026025
0.38485017	0.40273148	0.42141393
0.38893315	0.40627164	0.4244386
0.3816661	0.40071708	0.41741604
0.39468977	0.4103526	0.42855358
0.39272347	0.40983778	0.42893013
0.37924078	0.39712742	0.41504222
0.37975577	0.3982267	0.41431996
0.39341614	0.40858817	0.42657042
0.38852474	0.40502775	0.42205623
0.38520223	0.4024339	0.41800112
0.3822468	0.40025702	0.41692784
0.36861986	0.3906274	0.404701
0.36207506	0.38539383	0.39908177
