Train	Test	Trail
0.08537793	0.038040068	-0.015022883
0.12069367	0.016898215	0.06599386
0.16613454	0.03980324	0.04396691
0.18507211	0.020119207	0.045270845
0.19567938	0.03319414	-0.02230278
0.24110596	0.050685033	0.050059892
0.2888531	0.03541585	0.07002846
0.32008007	0.03897735	0.07887872
0.3199497	0.018955218	0.085197344
0.3500961	0.035342842	0.086232655
0.42940256	0.048687067	0.07127908
0.35287255	0.02540885	0.025106013
0.38368142	0.046600748	0.041982304
0.41373128	0.044501595	0.059366688
0.4189511	0.043109413	0.050319076
0.40907705	0.040896982	0.049076796
0.43215856	0.039682653	0.054588623
0.40657732	0.020164149	0.034376744
0.380891	0.03463421	0.041412625
0.4046298	0.03527732	0.045436516
0.41781008	0.03778846	0.05938102
0.4005009	0.02259122	0.037645094
0.40417993	0.014198714	0.03441727
0.4137078	0.005617417	0.048732318
0.40280133	0.009262508	0.020463124
0.4169691	0.011091247	0.033085495
0.4165067	0.0075948816	0.013303172
0.43636158	0.0022586004	0.024844257
0.42572385	-0.0012440316	0.039839413
0.41852993	0.0073743775	0.04415134
0.39315683	-0.0064548226	0.05064876
0.40850294	0.005340215	0.042053074
0.39519092	0.0024704097	-0.015080185
0.39665443	0.0058849184	0.029141601
0.3970842	-0.008514813	0.03171696
0.40302086	-0.0036453085	0.025869071
0.44054493	-0.009024973	0.011906231
0.4314561	-0.00022086897	0.023135005
0.4329885	0.011556139	0.027186653
0.44351012	0.0058745104	0.020698385
0.42140692	-0.0039309035	0.02188315
0.42928115	0.004365664	0.02672908
0.449713	0.012794325	0.036737785
0.45732468	0.0048835385	0.043585707
0.42452818	-0.0015841428	0.025024071
0.43131736	-0.0015032187	0.0649782
0.433328	0.0096721705	0.025371218
0.44791988	0.0068387245	0.0037943933
0.47175717	0.014147088	0.032974977
0.4788265	-0.0031819434	-0.0051491456
