Train	Test	Trail
0.37431806	0.37779117	0.3968186
0.38139072	0.3882088	0.40652087
0.39470363	0.4022457	0.42259285
0.38706917	0.40039423	0.4186502
0.37004265	0.38587078	0.40696594
0.36795887	0.38655823	0.4066352
0.36989468	0.3887333	0.4077542
0.35594764	0.37676004	0.3932453
0.34108213	0.36756325	0.38340324
0.33435234	0.36306912	0.3792994
0.3257457	0.3546172	0.3744268
0.30914578	0.34074607	0.3605279
0.3068748	0.3404288	0.35349172
0.31003776	0.3421983	0.35731262
0.30629572	0.3415553	0.36045057
0.29250413	0.3313553	0.347747
0.29277572	0.33036032	0.34673122
0.27192155	0.31601995	0.3327306
0.2529921	0.30156106	0.3193601
0.25459614	0.30359182	0.31835997
0.24755965	0.29672754	0.31431615
0.24745828	0.2984194	0.31493768
0.22678839	0.28424534	0.30043206
0.22122288	0.27857247	0.29574883
0.21603143	0.27444836	0.29314035
0.20246221	0.265104	0.28416657
0.20336871	0.26707742	0.2840419
0.19992039	0.26246932	0.27701
0.19832614	0.26300773	0.28103617
0.19058433	0.25582406	0.2692309
0.1898034	0.2557989	0.27165216
0.18488167	0.25170165	0.26570806
0.18825077	0.25313708	0.2683671
0.16756026	0.2389826	0.25517297
0.16872105	0.24131416	0.2612537
0.16127713	0.23461226	0.2529229
0.15713115	0.23209082	0.2468025
0.16015656	0.23404437	0.24882172
0.16555168	0.238385	0.25482136
0.16055538	0.23472117	0.24911034
0.1627033	0.23637262	0.25582796
0.15649648	0.23193216	0.24836977
0.1593387	0.23474835	0.2544067
0.14718392	0.22515513	0.24470067
0.14816149	0.22817712	0.24411868
0.14071704	0.22029205	0.23801664
0.1397108	0.22057073	0.2359408
0.14287223	0.2215955	0.24108861
0.12851237	0.21229713	0.22886287
0.13084495	0.21296668	0.22923352
