Train	Test	Trail
0.18615572	0.016221944	0.0002601321
0.27749783	0.009806406	0.024565913
0.28991053	0.015036816	0.036744006
0.3549825	-0.015593159	0.05558374
0.38786682	0.015188142	0.03308406
0.38216996	-0.0037850966	0.0058042267
0.40924442	-0.0019624177	0.032029137
0.42950734	-0.0011907071	0.0582661
0.44836962	0.008559858	0.062304735
0.45759046	-0.022546517	0.03734649
0.4760528	0.016136443	0.030281134
0.5099148	-0.0034697512	0.013394879
0.5079272	0.0020429178	0.038718116
0.5036829	0.004395436	0.043826748
0.50313795	-0.001665972	0.047026493
0.5352326	-0.0073434557	0.018949926
0.52978796	-0.007301691	0.040324878
0.56242436	-0.0015622907	0.015741995
0.577695	0.0011834061	0.00866599
0.5827861	0.00073623075	0.0141266445
0.5894094	0.008079213	0.02404948
0.596443	-0.0003920137	0.012039699
0.6279834	-0.0065361992	0.018507034
0.62271965	0.008320077	0.014349488
0.62884974	0.00032758375	0.016048705
0.64588994	0.01689088	-0.006491485
0.6556382	0.009726079	-0.0033528008
0.65461046	0.017565917	0.0141833555
0.6537975	0.0094154375	0.013650557
0.6692512	0.012110681	0.01832697
0.66739833	0.017489163	0.022919208
0.67282206	0.015000346	0.019262059
0.667469	0.020288879	0.026227508
0.6898398	0.023644742	0.019616013
0.6905723	0.017873932	0.012194547
0.7060053	0.024698772	0.011795296
0.7088283	0.027273234	0.024706423
0.70490175	0.023993561	0.03474923
0.70303655	0.02728846	0.027345866
0.70986396	0.02654165	0.030044802
0.7084346	0.030539248	0.0076234825
0.71927196	0.029943265	0.020063639
0.71198696	0.02683283	0.017294616
0.72719485	0.03908481	0.010071802
0.7300842	0.033815257	0.029576248
0.7374789	0.04324332	0.011684588
0.7368027	0.03335053	0.01435927
0.7350692	0.041817572	-0.0037399242
0.747158	0.04304664	0.0031231006
0.7367813	0.045087982	0.008399692
